source,study_id,source_profile,dataset,model_family,source_model,defense_profile,target_model,suite,paper_visible_retention_row,n,eligible_total,baseline_success_total,candidate_success_total,baseline_asr_mean,candidate_asr_mean,zero_baseline_seed_count,low_baseline_seed_count,baseline_seed_asr_values,per_seed_asr_retention_mean,aggregate_asr_retention,retention_metric_gap,baseline_viability_pass,baseline_viability_reason,metric_correction_applied,metric_correction_source,raw_candidate_asr_mean,raw_per_seed_asr_retention_mean,raw_aggregate_asr_retention,raw_retention_metric_gap
cpu_evidence/structure_bucket_only/analysis/all_results.csv,cpu_structure_bucket_only,r18_only,pet37,cnn,resnet18,standard,mobilenet_v2,static_q80,True,5,475,127,112,0.2673684210526316,0.2357894736842104,0,0,0.315789473684;0.273684210526;0.242105263158;0.252631578947;0.252631578947,0.8869230769230768,0.8818897637795273,0.0050333131435494,True,pass,False,,0.2357894736842104,0.8869230769230768,0.8818897637795273,0.0050333131435494
cpu_evidence/structure_frequency_only/analysis/all_results.csv,cpu_structure_frequency_only,r18_only,pet37,cnn,resnet18,standard,mobilenet_v2,dynamic_uniform,True,5,475,139,115,0.2926315789473684,0.2421052631578947,0,0,0.263157894737;0.263157894737;0.273684210526;0.315789473684;0.347368421053,0.8273100233100233,0.827338129496403,2.810618637960616e-05,True,pass,False,,0.2421052631578947,0.8273100233100233,0.827338129496403,2.810618637960616e-05
cpu_evidence/structure_frequency_only/analysis/all_results.csv,cpu_structure_frequency_only,r18_only,pet37,cnn,resnet18,standard,mobilenet_v2,static_q80,True,5,475,126,119,0.2652631578947368,0.2505263157894736,0,0,0.305263157895;0.273684210526;0.242105263158;0.252631578947;0.252631578947,0.9468967439357244,0.9444444444444444,0.0024522994912801,True,pass,False,,0.2505263157894736,0.9468967439357244,0.9444444444444444,0.0024522994912801
cpu_evidence/structure_full_vf/analysis/all_results.csv,cpu_structure_full_vf,r18_only,pet37,cnn,resnet18,standard,mobilenet_v2,dynamic_uniform,True,5,475,139,115,0.2926315789473684,0.2421052631578947,0,0,0.263157894737;0.263157894737;0.273684210526;0.315789473684;0.347368421053,0.8273100233100233,0.827338129496403,2.810618637960616e-05,True,pass,False,,0.2421052631578947,0.8273100233100233,0.827338129496403,2.810618637960616e-05
cpu_evidence/structure_full_vf/analysis/all_results.csv,cpu_structure_full_vf,r18_only,pet37,cnn,resnet18,standard,mobilenet_v2,static_q80,True,5,475,126,119,0.2652631578947368,0.2505263157894736,0,0,0.305263157895;0.273684210526;0.242105263158;0.252631578947;0.252631578947,0.9468967439357244,0.9444444444444444,0.0024522994912801,True,pass,False,,0.2505263157894736,0.9468967439357244,0.9444444444444444,0.0024522994912801
cpu_evidence/structure_no_vf/analysis/all_results.csv,cpu_structure_no_vf,r18_only,pet37,cnn,resnet18,standard,mobilenet_v2,dynamic_uniform,True,5,475,139,122,0.2926315789473684,0.2568421052631578,0,0,0.263157894737;0.263157894737;0.273684210526;0.315789473684;0.347368421053,0.8854731934731934,0.8776978417266187,0.0077753517465747,True,pass,False,,0.2568421052631578,0.8854731934731934,0.8776978417266187,0.0077753517465747
cpu_evidence/structure_no_vf/analysis/all_results.csv,cpu_structure_no_vf,r18_only,pet37,cnn,resnet18,standard,mobilenet_v2,static_q80,True,5,475,126,112,0.2652631578947368,0.2357894736842104,0,0,0.305263157895;0.273684210526;0.242105263158;0.252631578947;0.252631578947,0.8938770999115826,0.8888888888888887,0.0049882110226938,True,pass,False,,0.2357894736842104,0.8938770999115826,0.8888888888888887,0.0049882110226938
reviewer_cifar10/analysis/all_results.csv,reviewer_cifar10,cifar10_resnet18,cifar10,cnn,cifar10_resnet18,standard,cifar10_resnet18,dynamic_uniform,True,5,125,19,17,0.152,0.136,0,0,0.16;0.12;0.16;0.16;0.16,0.8833333333333334,0.894736842105263,0.0114035087719296,True,pass,False,,0.136,0.8833333333333334,0.894736842105263,0.0114035087719296
reviewer_cifar10/analysis/all_results.csv,reviewer_cifar10,cifar10_resnet18,cifar10,cnn,cifar10_resnet18,standard,cifar10_resnet18,static_q70,True,5,125,21,20,0.168,0.16,0,0,0.2;0.16;0.16;0.16;0.16,0.96,0.9523809523809524,0.0076190476190476,True,pass,False,,0.16,0.96,0.9523809523809524,0.0076190476190476
reviewer_cifar10/analysis/all_results.csv,reviewer_cifar10,cifar10_resnet18,cifar10,cnn,cifar10_resnet18,standard,cifar10_resnet18,static_q80,True,5,125,20,20,0.16,0.16,0,0,0.16;0.16;0.16;0.16;0.16,1.0,1.0,0.0,True,pass,False,,0.16,1.0,1.0,0.0
